机电安装工程类质量管理软科项目知识学习清单,,,,,,,,,
序号,专业类别,部位/工序,规范要求,规范名称,规范编号,条文编号,问题参照1,问题参照2,问题参照3
13 ,电气安装,梯架、托盘、槽盒安装,当直线段钢制或塑料梯架、托盘或槽盒长度超过30m，铝合金或玻璃钢制梯架、托盘或槽盒长度超过15m时，应设置伸缩节,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.1,电气桥架伸缩节设置不符合规范要求,,
14 ,电气安装,梯架、托盘、槽盒安装,当梯架、托盘、槽盒跨越建筑物变形缝时，应设置补偿装置。,《建筑电气工程施工质量验收规范》,GB50303-2015,11.2.1,电气桥架跨越变形缝未见补偿装置,,
15 ,电气安装,接闪线和接闪带安装,安装平正顺直，固定支架高度，间距符合要求,《建筑电气工程施工质量验收规范》,GB50303-2015,24.2.5,避雷带安装不平顺,,
16 ,电气安装,接闪线和接闪带安装,当设计无要求时，固定支架高度不宜小于150mm，间距应符合表24.2.5的规定；,《建筑电气工程施工质量验收规范》,GB50303-2015,24.2.5,避雷带安装支架高度不足,,
17 ,电气安装,接闪线和接闪带安装,每个固定支架应能承受49N的垂直拉力,《建筑电气工程施工质量验收规范》,GB50303-2015,24.2.5,避雷带固定支架松动或脱落,,
18 ,电气安装,接闪线和接闪带安装,穿越变形缝应设置补偿装置,《建筑电气工程施工质量验收规范》,GB50303-2015,24.2.6,避雷带跨越变形缝未设置补偿装置,,
19 ,电气安装,等电位联结/接地,需做等电位联结的外露可导电部分或外界可导电部分的连接应可靠；,《建筑电气工程施工质量验收规范》,GB50303-2015,25.1.2,等电位连接松动,,
20 ,电气安装,等电位联结/接地,"接地装置的焊接应采用搭接焊，除埋设在混凝土中的焊接接头外，应采取防腐措施，
",《建筑电气工程施工质量验收规范》,"GB50303-2015
","22.2.1
",避雷带接地焊接处未做防腐措施,,
21 ,电气安装,等电位联结/接地,"焊接搭接长度应符合下列规定：
1 扁钢与扁钢搭接不应小于扁钢宽度的2倍，且应至少三面施焊；
2 圆钢与圆钢搭接不应小于圆钢直径的6 倍，且应双面施焊；
3 圆钢与扁钢搭接不应小于圆钢直径的6 倍，且应双面施焊；
4 扁钢与钢管，扁钢与角钢焊接，应紧贴角钢外侧两面，或紧贴3/4钢管表面，上下两侧施焊。",《建筑物防雷工程施工与质量验收规范》,GB50601-2010,表4.1.2,避雷带接地搭接焊接长度不足,,
22 ,电气安装,等电位联结/接地,螺栓、垫圈、螺母等为热镀钵制品，连接牢固。,《建筑电气工程施工质量验收规范》,GB50303-2015,25.1.2,避雷带连接松动,,
23 ,电气安装,电气导管,刚性导管经柔性导管与电气设备、器具连接时，柔性导管的长度在动力工程中不宜大于0.8m，在照明工程中不宜大于1.2m。,《建筑电气工程施工质量验收规范》,GB50303-2015,12.2.8,金属电气导管采用柔性管道过度时柔性管道长度不符合规范要求,,
24 ,电气安装,电气导管,明敷时（包括敷设在吊顶内），应穿金属导管或采用封闭式金属槽盒保护，金属导管或封闭式金属槽盒应采取防火保护措施；,《建筑设计防火规范》,GB50016-2014,10.1.10 ,金属导管或封闭式金属槽盒未见防火保护措施,,
25 ,电气安装,电气导管,明配的金属、非金属柔性导管固定点间距应均匀，不应大于1m，管卡与设备、器具、弯头中点、管端等边缘的距离应小于0.3m,《建筑电气工程施工质量验收规范》,GB50303-2015,12.2.8,电气导管固定点间接不满足规范要求,,
26 ,电气安装,"模块/末端设备
安装",探测器至墙壁、梁边的水平距离不应小于0.5m；,《火灾自动报警系统施工及验收标准》,GB50166-2019,3.3.6,探测器距墙壁梁端距离不满足规范要求,,
27 ,电气安装,"模块/末端设备
安装",探测器至空调送风口最近边的水平距离不应小于1.5m，至多孔送风顶棚孔口的水平距离不应小于0.5m；,《火灾自动报警系统施工及验收标准》,GB50166-2019,3.3.6,探测器距空调送风口距离不满足规范要求,,
28 ,电气安装,"模块/末端设备
安装",在宽度小于3m的内走道顶棚上安装探测器时、宜居中安装，点型感温火灾探测器的安装间距不应超过10m，点型感烟火灾探测器的安装间距不应超过15m，探测器至端墙的距离不应大于安装间距的一半；,《火灾自动报警系统施工及验收标准》,GB50166-2019,3.3.6,探测器安装间距不满足规范要求,,
29 ,电气安装,"模块/末端设备
安装",模块严禁设置在配电(控制)柜(箱)内,《火灾自动报警系统设计规范》,GB50116-2013,6.8.2,模块配置于配电柜（控制）柜内,,
30 ,给排水安装,套管, 管道穿过墙壁和楼板，宜设置金属或塑料套管。安装在楼板内的套管，其顶部应高出装饰地面20mm；安装在卫生间及厨房内的套管，其顶部应高出装饰地面50mm，底部应与楼板底面相平；安装在墙壁内的套管其两端与饰面相平。穿过楼板的套管与管道之间缝隙应用阻燃密实材料和防水油膏填实，端面光滑。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,3.3.13,给排水管道穿过楼层或墙壁未设置套管,给排水管道的套管顶部高度不满足规范要求,给排水套管与管道间封堵不到位
31 ,给排水安装,套管,穿墙套管与管道之间缝隙宜用阻燃密实材料填实，且端面应光滑。管道的接口不得设在套管内。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,3.3.13,给排水管道接口设置于套管内,穿墙套管与管道间未见防火封堵,
32 ,给排水安装,套管, 地下室或地下构筑物外墙有管道穿过的，应采取防水措施。对有严格防水要求的建筑物，必须采用柔性防水套管。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,3.3.3,管道穿越地下室外墙防水封堵不到位,,
33 ,给排水安装,支架,规范距离给水管转角150mm处应设管卡固定 中间管卡间距应符合表20.3.7的规定,《住宅装饰装修工程施工技术规程》,T-CBDA51-2021,20.3.7,给水管道转角位置管卡设置不符合规范要求,给水管道管卡间接不符合规范要求,
34 ,给排水安装,支架,竖直安装的配水干管除中间用管卡固定外，还应在其始端和终端设防晃支架或采用管卡固定，其安装位置距地面或楼面的距离宜为1.5m~1.8m。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.15,竖向配水管未见防晃或固定管卡,竖向配水管固定管卡间距不满足规范要求,
35 ,给排水安装,支架,当管道的公称直径等于或大于50mm时，每段配水干管或配水管设置防晃支架不应少于1个，且防晃支架的间距不宜大于15m；当管道改变方向时，应增设防晃支架。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.15,给水管道防晃支架缺失或数量不满足规范要求,,
36 ,给排水安装,支架,配水支管上每一直管段、相邻两喷头之间的管段设置的吊架均不宜少于1个，吊架的间距不宜大于3.6m。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.15,消防支管支架设置不满足规范要求,,
37 ,给排水安装,支架,管道支架、吊架的安装位置不应妨碍喷头的喷水效果；管道支架、吊架与喷头之间的距离不宜小于300mm；与末端喷头之间的距离不宜大于750mm。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.15,消防管道支架安装位置距喷头距离不满足规范要求,,
38 ,给排水安装,支架,管道应固定牢固，管道支架或吊架之间的距离不应大于表5.1.15-1至5.1.15-5的规定,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.15,消防管道支架松动,消防管道支架间距不满足规范要求,
39 ,给排水安装,地漏, 排水栓和地漏的安装应平正、牢固，低于排水表面，周边无渗漏。地漏水封高度不得小于 50mm。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,7.2.1,地漏水封高度不足,地漏安装歪斜,地漏高于排水面
40 ,给排水安装, 消火栓的安装,消火栓栓口出水方向宜向下或与设置消火栓的墙面成90°角，栓口不应安装在门轴侧；,《建筑给水排水及采暖工程施工质量验收规范》、《消防给水及消火栓系统技术规范》,"GB50242-2002
GB 50974-2014 ","4.3.3
12.3.9",消火栓出水口方向设置不符合规范要求,,
41 ,给排水安装, 消火栓的安装,阀门中心距箱侧面为140mm，距箱后内表面为100mm，允许偏差±5mm；,《建筑给水排水及采暖工程施工质量验收规范》、《消防给水及消火栓系统技术规范》,"GB50242-2002
GB 50974-2014 ","4.3.3
12.3.10",消火栓阀门中心距线体距离不满足规范要求,,
42 ,给排水安装, 消火栓的安装,消火栓箱门的开启不应小于120°；,《建筑给水排水及采暖工程施工质量验收规范》、《消防给水及消火栓系统技术规范》,"GB50242-2002
GB 50974-2014 ","4.3.3
12.3.10",消火栓柜门开启角度不足,,
43 ,给排水安装, 消火栓的安装,箱体安装的垂直度允许偏差为±3mm,《建筑给水排水及采暖工程施工质量验收规范》、《消防给水及消火栓系统技术规范》,"GB50242-2002
GB 50974-2014 ","4.3.3
12.3.10",消防箱安装歪斜,,
44 ,给排水安装,泵房,吸水管水平管段上不应有气囊和漏气现象，变径连接时，应采用偏心异径管并应采用管顶平接,《消防给水及消火栓系统技术规范》、《自动喷水灭火系统施工及验收规范》,"GB50974-2014
GB50261-2017","12.3.2
4.2.3",泵房给水管水平变径连接管件不符合规范要求,,
45 ,给排水安装,泵房,消防水泵出水管上应安装消声止回阀，控制阀和压力表；系统的总出水管上还应安装压力表和压力开关；安装压力表时应加设缓冲装置。压力表与缓冲装置之间应安装旋塞；,《消防给水及消火栓系统技术规范》、《自动喷水灭火系统施工及验收规范》,"GB50974-2014
GB50261-2017","12.3.2
4.2.3",消防水泵出水管未见消声止回阀,消防水泵出水管未见控制阀,消防水泵出水管未见压力表
46 ,给排水安装,管道安装,"检查口中心高度距操作地面一般为 1m，允许偏差±
20mm；检查口的朝向应便于检修。暗装立管，在检查口处应安装检修门。",《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,5.2.6,排水管检测口高度不满足规范要求,排水管安装检修口未见检修门,
47 ,给排水安装,管道安装,排水塑料管必须按设计要求及位置装设伸缩节。如设计无要求时，伸缩节间距不得大于 4m。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,5.2.4,排水塑料管未见伸缩节或间距不满足规范要求,,
48 ,给排水安装,管道安装,高层建筑中明设排水塑料管道应按设计要求设置阻火圈或防火套管。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,5.2.4,排水塑料管未见阻火圈或防火套管,,
49 ,给排水安装,管道安装,当梁、通风管道、排管、桥架宽度大于1.2m时，增设的喷头应安装在其腹面以下部位,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.2.9,通风管道宽度大于1.2m未增设消防喷头,,
50 ,给排水安装,管道安装,管道穿过结构伸缩缝、抗震缝及沉降缝敷设时，应根据情况采取补偿措施,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,3.3.4,管道穿越变形缝未见补偿措施,,
51 ,给排水安装,管道安装,机械三通开孔间距不应小于500mm，机械四通开孔间距不应小于1000mm；机械三通、机械四通连接时支管的口径应满足表5.1.11的规定,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.11,机械三通开孔间距不满足规范要求,机械四通开孔间距不满足规范要求,
52 ,给排水安装,管道安装,配水干管、配水管应做红色或红色环圈标志。红色环圈标志，宽度不应小于20mm，间隔不宜大于4m，在一个独立的单元内环圈不宜少于2处。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.18,配水管未见颜色标记,,
53 ,给排水安装,管道安装,配水干管（立管）与配水管（水平管）连接，应采用沟槽式管件，不应采用机械三通。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.1.11,配水干管与水平管连接采用机械三通,,
54 ,给排水安装,水箱,高位消防水箱、消防水池的人孔宜密闭。通气管、溢流管应有防止昆虫及小动物爬入水池（箱）的措施。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,4.3.5,消防水箱人口未密闭,消防水箱通气管、溢流管未见防止昆虫措施,
55 ,给排水安装,水箱,消防水池，高位消防水箱的溢流管、泄水管不得与生产或生活用水的排水系统直接相连，应采用间接排水方式。,《建筑给水排水及采暖工程施工质量验收规范》,GB50242-2002,4.3.4,消防水箱泄水管与生活用水的排水系统相连,,
56 ,给排水安装,水箱,高位消防水箱的出水管上应设置防止消防用水倒流进入高位消防水箱的止回阀。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,4.3.8,消防水箱出水管未见止回阀,,
57 ,给排水安装,组件安装, 信号阀应安装在水流指示器前的管道上，与水流指示器之间的距离不宜小于300mm。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.4.6,信号阀安装位置不当,,
58 ,给排水安装,组件安装,水力警铃应安装在公共通道或值班室附近的外墙上，且应安装检修、测试用的阀门。水力警铃和报警阀的连接应采用热镀锌钢管，当镀锌钢管的公称直径为20mm时，其长度不宜大于20m；安装后的水力警铃启动时，警铃声强度应不小于70dB。,《自动喷水灭火系统施工及验收规范》,GB50261-2017,5.4.4,水力警铃安装不符合规范要求,,
59 ,通风工程,通风管道套管,穿过需要封闭的防火、防爆的墙体或楼板时，必须设置厚度不小于1．6mm的钢制防护套管,《通风与空调工程施工质量验收规范》,GB50243-2016,6.2.2,通风管道穿越墙体或楼层未采用钢制防护套管,,
60 ,通风工程,通风管道套管,风管与防护套管之间应采用不然柔性材料封堵严密,《通风与空调工程施工质量验收规范》,GB50243-2016,6.2.2,风管与防护套管未采用柔性不燃材料密封,,
61 ,通风工程,风管防火, 防排烟系统的柔性短管必须采用不燃材料。,《通风与空调工程施工质量验收规范》,GB50243-2016,5.2.7,排烟柔性短管未采用不燃材料,,
62 ,通风工程,风管防火,防火风管的本体、框架与固定材料、密封垫料等应采用不燃材料,《通风与空调工程施工质量验收规范》,GB50243-2016,4.2.2,防火风管、框架框架与固定材料、密封垫料等未采用不燃材料,,
63 ,通风工程,设备安装,通风机传动装置的外露部位以及直通大气的进出口必须装设防护罩、防护网或采取其他安全防护措施,《通风与空调工程施工质量验收规范》,GB50243-2016,7.2.2,风机传动装置的外露部位及进出口未见防护装置,,
64 ,通风工程,设备安装,风机外壳至墙壁或其他设备的距离不应小于600mm。,《建筑防烟排烟系统技术标准》,GB51251-2017,6.5.2,风机外壳至墙壁、其它设备距离小于600mm,,
65 ,通风工程,设备安装,风机应设在混凝土或钢架基础上，且不应设置减振装置；若排烟系统与通风空调系统共用且需要设置减振装置时，不应使用橡胶减振装置。,《建筑防烟排烟系统技术标准》,GB51251-2017,6.5.3,风机未设置于混凝土或钢架基础上,,
66 ,通风工程,风阀的安装,各类风阀应安装在便于操作及检修的部位，方向正确；,《通风与空调工程施工质量验收规范》,GB50243-2016,6.2.7,风阀安装位置不当，不便于操作及检修,,
67 ,通风工程,风阀的安装,防火分区隔墙两侧的防火阀，距墙表面不应大于200mm。,《通风与空调工程施工质量验收规范》、《建筑防烟排烟系统技术标准》,"GB50243-2016
 GB51251-2017","6.2.7
6.4.1",防火分区两侧防火阀，距墙表面不应大于200mm,,
68 ,通风工程,通风风管支架,风管支、吊架的型钢材料应按风管、部件、设备的规格和重量选用，并应符合设计要求。当设计无要求时，在最大允许安装间距下，风管吊架的型钢规格应符合表7.2.4-1、表7.2.4-2、表7.2.4-3、表7.2.4-4的规定。,《通风与空调工程施工规范》,GB50738-2011,7.2.4,通风管支吊架型材间距不符合设计要求,,
69 ,通风工程,通风风管支架,支、吊架距风管末端不应大于1000mm，距水平弯头的起弯点间距不应大于500mm，设在支管上的支吊架距干管不应大于1200mm。,《通风与空调工程施工规范》,GB50738-2011,7.3.6,通风管道支吊架距风管末端距离大于1000mm,通风管道支吊架距风管起弯点间距不足500mm,通风支管支吊架距干管大于1200mm
70 ,通风工程,通风风管支架,支吊架不应设置在风口、检查口处以及阀门、自控机构的操作部位，且距风口不应小于200mm,《通风与空调工程施工规范》,GB50738-2011,7.3.6,通风管支吊架位置不符合规范要求,,
71 ,通风工程,通风风管支架,悬吊的水平主、干风管直线长度大于20m时，应设置防晃支架或防止摆动的固定点,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.1,通风管道未见防晃支架,,
72 ,通风工程,通风风管支架,边长(直径)大于1250mm的弯头、三通等部位，应设置独立支、吊架,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.1,边长(直径)大于1250mm的弯头、三通等部位未设置独立支、吊架,,
73 ,通风工程,通风风管支架,长边尺寸大于或等于630mm的防火阀应设置独立支、吊架,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.8,大于或等于630mm的防火阀未设置独立支、吊架,,
74 ,通风工程,通风风管支架,金属风管水平安装，直径或边长大于400mm时，间距不应大于3m,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.1,金属风管水平安装间距不满足规范要求,,
75 ,通风工程,通风风管支架,垂直安装时，应设置至少2个固定点，支架间距不应大于4m,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.1,垂直风管固定点或支架间距不满足规范要求,,
76 ,通风工程,通风风管支架,消声器及静压箱安装时，应设置独立支、吊架，固定应牢固,《通风与空调工程施工质量验收规范》,GB50243-2016,6.3.1,消声器或静压箱未设置独立支吊架,,
77 ,通风工程,风管制作,金属圆形风管法兰及螺栓规格应符合表4.2.3-4的规定，金属矩形风管法兰及螺栓规格应符合表4.2.3-5的规定。微压、低压与中压系统风管法兰的螺栓及铆钉孔的孔距不得大于150mm；高压系统风管不得大于100mm。矩形风管法兰的四角部位应设有螺孔。,《通风与空调工程施工质量验收规范》,GB50243-2016,4.2.3,微压、低压、中压风管的法兰连接不符合规范要求,,
78 ,通风工程,风管制作,管内支撑与风管的固定应牢固，穿管壁处应采取密封措施。各支撑点之间或支撑点与风管的边沿或法兰间的距离应均匀，且不应大于950mm。,《通风与空调工程施工质量验收规范》,GB50243-2016,4.3.1,金属风管内支撑设置不满足规范要求,,
79 ,通风工程,风管制作,风管的翻边应紧贴法兰，翻边量均匀、宽度应一致，不应小于6mm，且不应大于9mm。铆接应牢固，铆钉间距宜为100mm～120mm，且数量不宜少于4个。,《通风与空调工程施工规范》,GB50738-2011,4.2.9,通风风管的法兰连接不符合规范要求,,
80 ,通风工程,风管制作,风管采用镀锌螺杆内支撑时，镀锌加固垫圈应置于管壁内外两侧。正压时密封圈置于风管外侧，负压时密封圈置于风管内侧，风管四个壁面均加固时，两根支撑杆交叉成十字状。采用钢管内支撑时，可在钢管两端设置内螺母。,《通风与空调工程施工规范》,GB50738-2011,4.2.15,金属风管内支撑构造不满足规范要求,,
81 ,通风工程,风管制作,边长大于或等于500mm，且内弧半径与弯头端口边长比小于或等于0.25时，应设置导流叶片,《通风与空调工程施工规范》,GB50738-2011,4.3.3,通风管道内未见导流叶片,,
